title,publication_date,author_name,full_text,article_url
,,,,https://www.organiser.org//Encyc/2020/1/23/End-of-an-Era-in-Bengali-Media-.html
,,,,https://www.organiser.org//Encyc/2020/1/14/Hindutva-Offers-Solution-to-All-the-Problems.html
,,,,https://www.organiser.org//Encyc/2020/1/14/Preserving-the-Treasure-.html
,,,,https://www.organiser.org//Encyc/2020/1/20/Exams-Not-End-Game.html
,,,,https://www.organiser.org//Encyc/2020/1/23/Homage-to-the-Martyrs-.html
,,,,https://www.organiser.org//Encyc/2020/1/28/The-Man-with-Many-Firsts-.html
,,,,https://www.organiser.org//Encyc/2020/2/4/Washing-the-Sins-of-1971.html
,,,,https://www.organiser.org//Encyc/2019/12/31/Realising-the-pain-of-Persecution.html
HRD Minister releases UGC Revised Guidelines on Examinations and Academic Calendar for the Universities in view of COVID-19 Pandemic, 07-Jul-2020,,"Union HRD Ramesh Pokhriyal released UGC Revised Guidelines on Examinations and Academic Calendar for the Universities in view of COVID-19 Pandemic in New Delhi on July 6, 2020. Ramesh Pokhriyal said that the decision was taken to safeguard the principles of health, safety, fair and equal opportunity for students. At the same time, it is very crucial to ensure academic credibility, career opportunities and future progress of students globally. He applauded the initiatives of UGC for constantly making efforts to address various issues related to teaching, learning, examinations, academic calendar etc. in the difficult times of COVID-I9 pandemic. In April 2020, the UGC constituted an Expert Committee to deliberate and make recommendations regarding the issues related to Examinations and Academic Calendar. Based on the Report of the Committee, the UGC had issued Guidelines on Examinations and Academic Calendar on April 29, 2020. The Expert Committee was requested by the UGC to revisit the Guidelines and suggest options for examinations, admissions in the Universities/ Colleges and also for beginning of new academic session as the number of COVID cases is still increasing. The Commission in its emergent meeting held on July 6, 2020  accepted the Report of the Committee and approved the ‘UGC Revised Guidelines on Examinations and Academic Calendar for the Universities in view of COVID-19 Pandemic’. The highlights of the Guidelines are as under: In view of the emerging situation related to COVID-19 pandemic in India, it is important to safeguard the principles of health, safety, fair and equal opportunity for students. At the same time, it is very crucial to ensure academic credibility, career opportunities and future progress of students globally. Academic evaluation of students is very important milestone in any education system.  The performance in examinations gives confidence and satisfaction to the students and is a reflection of competence, performance and credibility that is necessary for global acceptability.",https://www.organiser.org//Encyc/2020/7/7/HRD-Minister-releases-UGC-Revised-Guidelines-on-Examinations-and-Academic-Calendar-for-the-Universities-in-view-of-COVID-19-Pandemic.html
,,,,https://www.organiser.org//Encyc/2020/2/19/Bharat-cannot-be-Understood-through-Foreign-Eyes.html
,,,,https://www.organiser.org//Encyc/2020/2/20/Sindh-Belongs-to-Us.html
,,,,https://www.organiser.org//Encyc/2020/2/11/Expounding-the-Cosmic-Message.html
,,,,https://www.organiser.org//Encyc/2020/2/26/Diabolical-Conspiracy-to-Defame-India.html
,,,,https://www.organiser.org//Encyc/2020/3/4/Bridging-the-Social-Divide.html
,,,,https://www.organiser.org//Encyc/2020/3/18/Changing-Signs-of-the-Heartland.html
Ensure Victory through Collective Action, 03-Apr-2020,,"RSS Sarsanghachalak Shri Mohan Bhagwat, in his Varsh Pratipada message on March 25, calls upon the Sangh swayamsevaks to join the war against Coronavirus",https://www.organiser.org//Encyc/2020/4/3/Ensure-Victory-through-Collective-Action.html
URDU MEDIA WATCH, 08-Apr-2020,,"         Siasat Akhbar-e-Mashriq, Hamara Samaj, Inquilab, Urdu Times, Roznama Rashtriya Sahara, Munsif, Etemad  Akhbar-e-Mashriq Bloody havoc, in which 25 Sikhs were massacred,  Condemning the latest gory incident,  About the expected yet abrupt postponement of the 2020 Tokyo Olympic due to the coronavirus,  The Express Tribune, Pakistan personal or national glory.’’ ",https://www.organiser.org//Encyc/2020/4/8/URDU-MEDIA-WATCH.html
URDU MEDIA WATCH, 18-Apr-2020,,"Coronavirus, Tablighi Jamaat and migrant workers related stories and subsequent editorials once again dominated their space in Urdu dailies for the fourth consecutive week in a row. Several other newspapers in Pakistan and Malaysia also gave prominence to these stories",https://www.organiser.org//Encyc/2020/4/18/URDU-MEDIA-WATCH.html
Cyclone Nisagra to hit Western-Coast, 02-Jun-2020,,"Few Days after country's eastern coast was destroyed by Amphan, a new cyclone has begun brewing over the Arabian Sea on the western coast and is likely to cross Maharashtra and Gujrat on June 3. The India Meteorological Department has sounded a 'Yellow' warning for north Maharashtra and south Gujarat coast on Monday It is the first cyclone to form in the Arabian Sea this year and could be named Nisarg. According to IMD, The low-pressure system was developed over the southwest Arabian Sea and Lakshadweep area on May 31 and will become a cyclone on June 2. IMD said that a low-pressure area which is developing over the Arabian Sea would intensify into a cyclone in the next 48 hours and is likely to reach Maharashtra and Gujarat coasts on June 3. The weather forecast department said that they are continuously monitoring the system and would update the forecast with a better estimate of the landfall. It is the first cyclone to form in the Arabian Sea this year, named Nisarga. It also predicts cumbersome to extreme rainfall over the coastal districts, especially Mumbai, Thane, Palghar, Raigarh and Sindudurgh areas. ""It is currently centred 690 km away from Mumbai, and the sea conditions are very rough, with winds of speed 45-50kmph over the sea. The wind-speed would increase to 70kmph on Tuesday when it becomes a cyclone and then increase up to 90-115 kmph on June 3 when it could cross Gujarat and north Maharashtra coast as a severe cyclonic storm,"" said M. Mohapatra, Director General of Meteorology (DGM), IMD. ""Systems which are formed along with the monsoon tend to carry much more rains, so it is expected that this could bring extreme rains over the coastal areas. The low-lying area could get inundated, especially the urban areas. We are continuously informing the local and central government authorities as we update the forecast,"" M. Mohapatra, (DGM), IMD added. It has been advised to fishers from all the coastal states including Karnataka, Goa, Kerala, Maharashtra and Gujarat not to venture into the Arabian Sea, Lakshadweep area till June 4 and urged those in the sea to return immediately. The warning from the IMD comes after a week of cyclone Amphan which has destruction in West Bengal and Odisha.",https://www.organiser.org//Encyc/2020/6/2/Cyclone-Nisagra-to-hit-Western-Coast.html
India’s Coronavirus recovery rate increases to 47.76%, 31-May-2020,,"The Government of India is taking pre-emptive and pro-active approach, and several steps along with the States/UTs for prevention, separating containment zones from other parts of the country and extending lockdown only in containment zones and giving green light in the rest parts in the management of COVID-19. These are being regularly reviewed and monitored at the highest level. This has resulted in a recovery rate of 47.76% amongst COVID-19 patients, an increase of almost 5 per cent in the recovery rate from the previous day’s recovery rate of 42.89%. “In the last 24 hours, 4,614 patients were found cured. A cumulative total of 86,983 people has been cured. This takes the total recovery rate to 47.76%. The number of cases under active medical supervision as of today is 89,995” states ministry of Health and Family Welfare. The health ministry is updating information on COVID-19 related technical issues, guidelines & advisories",https://www.organiser.org//Encyc/2020/5/31/India-s-Coronavirus-recovery-rate-increases-to-47-76-.html
"Prime Minister Modi conducts a review of Kedarnath Reconstruction project", 10-Jun-2020,,"Prime Minister Narendra Modi conducted a review of the Kedarnath Temple development and reconstruction project with the Uttarakhand State Government via video conferencing, the Prime Minister's Office (PMO) said in a statement. Prime Minister said that the State Government should envision and design development projects for holy sites like Kedarnath and Badrinath in a way and manner that stands the test of time and is yet eco-friendly and in harmony with nature and its surroundings, the statement said.  ""Keeping in mind the present situation and comparatively lean pressure in terms of tourists and pilgrims to the holy sites, Prime Minister suggested that the present construction season could be utilised for completing pending works by proper distribution of labour pools, keeping in mind the norms of social distancing. This will help to create facilities and infrastructure to better sustain tourism flows in the years to come,"" the release said. PM Modi also gave directions for further development of other heritage and religious spots in the stretch extending from Ramban to Kedarnath. This work will be in addition to the re-development of the main shrine in Kedarnath, the statement added. Uttarakhand Chief Minister Trivendra Singh Rawat and other senior officials also participated in the review meeting.",https://www.organiser.org//Encyc/2020/6/10/Prime-Minister-Modi-conducts-a-review-of-Kedarnath-Reconstruction-project.html
